threshold,accuracy,kappa,iou,burned_pct
0.1,0.958125,0.8549991478494696,0.9508076358296622,85.0
0.15,0.955,0.845465789184215,0.947136563876652,84.6875
0.2,0.95875,0.85927392809644,0.9513633014001474,84.4375
0.25,0.95375,0.8416964154399476,0.9456681350954479,84.5625
0.3,0.955,0.847978189092963,0.9469417833456153,84.0625
0.35,0.953125,0.8424125586684912,0.9447310243183493,83.875
0.4,0.954375,0.8461169563831161,0.94620486366986,84.0
0.45,0.953125,0.8424125586684912,0.9447310243183493,83.875
0.5,0.95125,0.836900695001686,0.9425202652910832,83.6875
0.55,0.956875,0.8564134045370243,0.9489267209474463,83.5
0.6,0.955,0.8518324162891737,0.9466271312083024,83.0625
0.65,0.954375,0.8641926789621902,0.9445288753799392,78.875
0.7,0.92375,0.7961080877821531,0.9062259800153728,73.9375
0.75,0.895625,0.7362810896170549,0.8762490392006149,71.125
0.8,0.6625,0.41708350143907513,0.5836545875096376,47.3125
0.85,0.479375,0.2769010914843818,0.35774865073245954,29.0
0.9,0.336875,0.20078114039341366,0.18195836545875096,14.75
0.95,0.398125,0.2308836551795055,0.25751734772552043,20.875
